cliente;cpf;data_nascimento
Aurora Silva;369852147-08;09/04/2003
Benício Oliveira;014785236-91;25/06/1976
Cecília Rodrigues;987654321-09;28/09/1992
Dante Costa;654321987-02;03/05/1985
Elara Souza;210987654-05;12/05/1987
Fabrício Pereira;741852963-04;27/01/1999
Giovana Lima;478521963-07;04/06/1981
Heitor Alves;109638527-03;21/03/2002
Isadora Fernandes;852963741-06;16/07/1996
João Vitor Santos;582196374-09;29/12/1989
Laura Carvalho;963258741-02;15/03/1988
Mateus Ribeiro;258741963-05;05/07/1979
Natália Gomes;789654123-08;18/12/1998
Otávio Barbosa;603987412-09;25/06/1976
Pietra Rocha;936521478-06;29/12/1976
Carlos;081234567-89;01/01/1990
Francisco Lima;254684587-94;21/06/2000
